folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,0,600,31,8.19999999999976,2,3.52,0,0,0,0,7,35,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,600,1200,21,10.1000000000003,1,1.38,0,0,0,0,4,20,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,3,1200,1800,26,17.5599999999999,1,1.87999999999988,0,0,0,0,7,35,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,1,0,600,4,4.78000000000005,6,7.61999999999998,0,0,0,0,0,0,3,15,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,2,600,1200,10,1.68000000000006,25,40.5000000000001,0,0,0,0,3,15,6,30,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,3,1200,1800,1,0.159999999999854,12,16.8199999999997,0,0,0,0,0,0,4,20,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,1,0,600,0,0,3,1.06,0,0,0,0,0,0,1,5,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,2,600,1200,1,0.200000000000045,1,0.700000000000046,0,0,0,0,0,0,1,5,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,3,1200,1800,0,0,0,0,0,0,0,0,0,0,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat23.csv,23____,16,1,1,C,Marios,82,1,0,600,17,7.71999999999994,15,48.5800000000001,0,0,0,0,4,20,5,25,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat23.csv,23____,16,1,1,C,Marios,82,2,600,1200,42,8.74000000000024,23,47.0000000000002,0,0,0,0,7,35,9,45,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat23.csv,23____,16,1,1,C,Marios,82,3,1200,1800,28,13.0800000000002,1,2.75999999999999,0,0,0,0,8,37.78,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat42.csv,42____,16,5,1,C,Marios,81,1,0,600,10,8.12,14,14.7999999999999,0,0,0,0,3,15,6,30,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat42.csv,42____,16,5,1,C,Marios,81,2,600,1200,9,4.88,5,4.65999999999997,0,0,0,0,2,10,1,5,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat42.csv,42____,16,5,1,C,Marios,81,3,1200,1800,3,7.51999999999998,4,5.18000000000006,0,0,0,0,3,15,1,5,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,1,0,600,5,0.560000000000031,15,2.43999999999988,0,0,0,0,1,5,6,30,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,2,600,1200,5,0.819999999999936,1,1.01999999999998,0,0,0,0,2,10,0,0,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,3,1200,1800,6,3.06000000000017,10,2.46000000000004,0,0,0,0,2,10,2,10,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,1,0,600,2,0.0999999999999659,2,0.579999999999984,0,0,0,0,2,10,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,2,600,1200,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,3,1200,1800,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,1,0,600,7,8.16000000000005,0,0,0,0,0,0,0,0,2,10,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,2,600,1200,7,1.90000000000009,1,0.759999999999991,0,0,0,0,1,5,3,15,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,3,1200,1800,6,5.88000000000034,0,0,0,0,0,0,0,0,3,15,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,1,0,600,3,1.26,23,14.9999999999999,0,0,0,0,9,41.5599999999999,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,2,600,1200,0,0,1,1.25999999999999,0,0,0,0,0,3.44000000000005,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,3,1200,1800,1,0.100000000000136,3,2.34000000000015,0,0,0,0,1,5,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,1,0,600,2,0.340000000000032,6,1.96000000000004,0,0,0,0,2,10,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,2,600,1200,4,2.53999999999996,17,15.4400000000006,0,0,0,0,7,35,2,10,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,3,1200,1800,5,2.02000000000021,15,13.3799999999997,0,0,0,0,7,35,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,1,0,600,3,2.32000000000005,13,11.1399999999998,0,0,0,0,4,20,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,2,600,1200,11,5.19999999999993,8,6.49999999999989,0,0,0,0,2,10,3,15,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,3,1200,1800,9,6.49999999999977,4,7.58000000000016,0,0,0,0,1,5,4,20,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,1,0,600,23,5.11999999999985,65,11.02,0,0,0,0,14,70,4,20,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,2,600,1200,36,40.2399999999996,40,9.58000000000004,0,0,0,0,10,50,8,40,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,3,1200,1800,0,0,13,7.82000000000016,0,0,0,0,3,15,0,0,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,1,0,600,15,5.53999999999974,4,2.45999999999997,0,0,0,0,5,25,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,2,600,1200,21,10.0399999999998,3,14.64,0,0,0,0,7,35,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,3,1200,1800,17,7.41999999999962,0,0,0,0,0,0,5,25,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,0,600,15,2.93999999999993,35,37.0000000000002,0,0,0,0,6,30,13,65,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,600,1200,4,15.0799999999999,9,25.2799999999999,0,0,0,0,0,0,4,20,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,1200,1800,22,17.1199999999999,4,8.77999999999975,0,0,0,0,6,30,1,5,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,1,0,600,1,0.399999999999999,1,3.02,0,0,0,0,1,5,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,2,600,1200,0,0,0,0,0,0,0,0,0,0,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,3,1200,1800,0,0,1,0.0600000000001728,0,0,0,0,0,0,1,5,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,1,0,600,15,10.16,6,29.58,0,0,0,0,5,25,3,15,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,2,600,1200,31,25.5799999999998,9,67.26,0,0,0,0,10,46.96,4,20,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,3,1200,1800,13,13.1199999999999,21,18.1000000000001,0,0,0,0,3,18.04,6,30,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,1,0,600,8,9.90000000000008,5,4.67999999999995,0,0,0,0,4,20,2,10,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,2,600,1200,5,20.62,0,0,0,0,0,0,3,15,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,3,1200,1800,0,0,0,0,0,0,0,0,0,0,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,1,0,600,3,0.199999999999996,12,1.5799999999999499,0,0,0,0,2,10,4,20,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,2,600,1200,7,4.10000000000014,4,1.50000000000011,0,0,0,0,2,10,1,5,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,3,1200,1800,7,12.2200000000003,2,0.0999999999999091,0,0,0,0,3,15,1,5,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,1,0,600,3,1.10000000000002,1,2.61999999999995,0,0,0,0,0,0,1,5,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,2,600,1200,1,0.0999999999999091,1,2.1400000000001,0,0,0,0,0,0,1,5,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,3,1200,1800,1,0.0199999999999818,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,1,0,600,5,6.90000000000003,0,0,0,0,0,0,0,0,3,15,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,2,600,1200,2,1.86000000000001,0,0,0,0,0,0,0,0,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,3,1200,1800,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
