Injection,Subject,Liquid,Bin_4mins,MagEntry,MagDur
LiCl,1,Sucrose,1,5.5,8.2925
LiCl,1,Sucrose,2,5.5,9.8225
LiCl,1,Sucrose,3,4.75,10.8375
LiCl,1,Sucrose,4,4.5,8.995
LiCl,1,Sucrose,5,4.25,10.0475
LiCl,1,Sucrose,6,3.5,5.3825
LiCl,2,Sucrose,1,5.5,12.2725
LiCl,2,Sucrose,2,3.5,8.855
LiCl,2,Sucrose,3,5.25,11.8725
LiCl,2,Sucrose,4,6.5,9.3125
LiCl,2,Sucrose,5,2.75,5.3825
LiCl,2,Sucrose,6,3.25,5.0675
LiCl,3,Sucrose,1,2.25,6.4475
LiCl,3,Sucrose,2,4.75,10.575
LiCl,3,Sucrose,3,5.25,13.9975
LiCl,3,Sucrose,4,5.5,14.5725
LiCl,3,Sucrose,5,2.75,6.46
LiCl,3,Sucrose,6,4.25,9.22
LiCl,4,Sucrose,1,4.5,10.5925
LiCl,4,Sucrose,2,4.5,6.825
LiCl,4,Sucrose,3,5,17.045
LiCl,4,Sucrose,4,5.75,18.825
LiCl,4,Sucrose,5,6.75,29.475
LiCl,4,Sucrose,6,7.5,32.535
LiCl,5,Maltodextrin,1,5.25,10.905
LiCl,5,Maltodextrin,2,3.25,5.9225
LiCl,5,Maltodextrin,3,3.5,5.7125
LiCl,5,Maltodextrin,4,4.5,6.195
LiCl,5,Maltodextrin,5,3.25,7.55
LiCl,5,Maltodextrin,6,2.75,12.3275
LiCl,6,Maltodextrin,1,5.25,7.785
LiCl,6,Maltodextrin,2,6.25,13.8125
LiCl,6,Maltodextrin,3,3.25,7.75
LiCl,6,Maltodextrin,4,4.75,8.7325
LiCl,6,Maltodextrin,5,3.25,8.495
LiCl,6,Maltodextrin,6,3.75,9.1575
LiCl,7,Maltodextrin,1,7.5,12.72
LiCl,7,Maltodextrin,2,7.25,12.945
LiCl,7,Maltodextrin,3,3.5,2.44
LiCl,7,Maltodextrin,4,1.75,2.5625
LiCl,7,Maltodextrin,5,4,10.435
LiCl,7,Maltodextrin,6,4.5,4.58
LiCl,8,Maltodextrin,1,8.75,12.16
LiCl,8,Maltodextrin,2,9,11.815
LiCl,8,Maltodextrin,3,9.25,14.2075
LiCl,8,Maltodextrin,4,7,9.425
LiCl,8,Maltodextrin,5,5.75,9.4175
LiCl,8,Maltodextrin,6,4.75,13.6675
LiCl,9,Maltodextrin,1,2.5,3.9125
LiCl,9,Maltodextrin,2,2.75,7.3625
LiCl,9,Maltodextrin,3,4.75,12.1625
LiCl,9,Maltodextrin,4,1.75,5.0275
LiCl,9,Maltodextrin,5,2.75,5.415
LiCl,9,Maltodextrin,6,2.25,8.2275
LiCl,10,Maltodextrin,1,4.5,9.8775
LiCl,10,Maltodextrin,2,4.75,16.51
LiCl,10,Maltodextrin,3,4.5,13.1375
LiCl,10,Maltodextrin,4,2.25,12.0725
LiCl,10,Maltodextrin,5,5.25,13.7475
LiCl,10,Maltodextrin,6,4.25,12.6475
LiCl,11,Maltodextrin,1,3.5,10.805
LiCl,11,Maltodextrin,2,4.5,15.185
LiCl,11,Maltodextrin,3,3.5,16.5625
LiCl,11,Maltodextrin,4,3.5,11.055
LiCl,11,Maltodextrin,5,3.25,18.8125
LiCl,11,Maltodextrin,6,2.25,9.1025
LiCl,12,Maltodextrin,1,5.25,8.05
LiCl,12,Maltodextrin,2,6.25,17.785
LiCl,12,Maltodextrin,3,4.75,38.1775
LiCl,12,Maltodextrin,4,3.75,30.305
LiCl,12,Maltodextrin,5,3.25,43.8475
LiCl,12,Maltodextrin,6,3.25,21.0725
LiCl,13,Sucrose,1,5.5,9.6925
LiCl,13,Sucrose,2,3.25,7.0225
LiCl,13,Sucrose,3,2,10.08
LiCl,13,Sucrose,4,1.25,14.6725
LiCl,13,Sucrose,5,2,10.4075
LiCl,13,Sucrose,6,2,4.1725
LiCl,14,Sucrose,1,4,7.42
LiCl,14,Sucrose,2,1.75,6.38
LiCl,14,Sucrose,3,2.25,5.89
LiCl,14,Sucrose,4,2.75,8.2425
LiCl,14,Sucrose,5,1.5,9.6925
LiCl,14,Sucrose,6,0.5,5.19
LiCl,15,Sucrose,1,6,16.805
LiCl,15,Sucrose,2,10.5,30.935
LiCl,15,Sucrose,3,7.5,28.375
LiCl,15,Sucrose,4,6,33.5025
LiCl,15,Sucrose,5,3.75,39.34
LiCl,15,Sucrose,6,6.25,20.3375
LiCl,16,Sucrose,1,4,4.7625
LiCl,16,Sucrose,2,2.75,6.755
LiCl,16,Sucrose,3,1.75,5.0225
LiCl,16,Sucrose,4,1,4.5725
LiCl,16,Sucrose,5,2,6.005
LiCl,16,Sucrose,6,0.75,4.1375
Saline,1,Maltodextrin,1,9.75,16.3475
Saline,1,Maltodextrin,2,8.5,15.535
Saline,1,Maltodextrin,3,7.25,10.065
Saline,1,Maltodextrin,4,4.25,11.5325
Saline,1,Maltodextrin,5,5.25,9.2325
Saline,1,Maltodextrin,6,4,8.605
Saline,2,Maltodextrin,1,5.75,9.62
Saline,2,Maltodextrin,2,3.5,9.3975
Saline,2,Maltodextrin,3,4.5,8.9425
Saline,2,Maltodextrin,4,1.5,5.2475
Saline,2,Maltodextrin,5,3.75,8.6
Saline,2,Maltodextrin,6,2.75,7.405
Saline,3,Maltodextrin,1,7.5,13.65
Saline,3,Maltodextrin,2,5.75,18.965
Saline,3,Maltodextrin,3,8,19.0575
Saline,3,Maltodextrin,4,5.75,10.33
Saline,3,Maltodextrin,5,6,15.8775
Saline,3,Maltodextrin,6,4.25,14.055
Saline,4,Maltodextrin,1,5.5,17.73
Saline,4,Maltodextrin,2,6,18.425
Saline,4,Maltodextrin,3,5.5,17.575
Saline,4,Maltodextrin,4,5.75,12.2625
Saline,4,Maltodextrin,5,7.5,23.8875
Saline,4,Maltodextrin,6,7,23.18
Saline,5,Sucrose,1,4.75,10.3525
Saline,5,Sucrose,2,6.75,8.415
Saline,5,Sucrose,3,5.25,7.5125
Saline,5,Sucrose,4,4,5.6325
Saline,5,Sucrose,5,3.75,8.05
Saline,5,Sucrose,6,2.5,8.195
Saline,6,Sucrose,1,5,12.1275
Saline,6,Sucrose,2,3,9.1575
Saline,6,Sucrose,3,6.25,17.665
Saline,6,Sucrose,4,5,14.6025
Saline,6,Sucrose,5,2.5,9.6925
Saline,6,Sucrose,6,4,9.86
Saline,7,Sucrose,1,5.25,9.2025
Saline,7,Sucrose,2,8.75,19.375
Saline,7,Sucrose,3,6,10.8625
Saline,7,Sucrose,4,4.5,8.65
Saline,7,Sucrose,5,4.25,13.615
Saline,7,Sucrose,6,6.75,15.0675
Saline,8,Sucrose,1,6.5,10.82
Saline,8,Sucrose,2,6.5,10.7075
Saline,8,Sucrose,3,13.5,21.41
Saline,8,Sucrose,4,5.25,17.7725
Saline,8,Sucrose,5,3.75,12.565
Saline,8,Sucrose,6,5.25,17.9975
Saline,9,Sucrose,1,4.75,5.7925
Saline,9,Sucrose,2,3.5,6.155
Saline,9,Sucrose,3,3.75,7.13
Saline,9,Sucrose,4,5.5,9.3925
Saline,9,Sucrose,5,6.75,10.29
Saline,9,Sucrose,6,4.5,7.1875
Saline,10,Sucrose,1,4.75,10.16
Saline,10,Sucrose,2,6.25,10.12
Saline,10,Sucrose,3,6.5,12.27
Saline,10,Sucrose,4,8.75,19.58
Saline,10,Sucrose,5,8.75,17.4775
Saline,10,Sucrose,6,4.25,6.4725
Saline,11,Sucrose,1,4.5,6.2775
Saline,11,Sucrose,2,4.75,8.8425
Saline,11,Sucrose,3,3.5,7.99
Saline,11,Sucrose,4,6,10.0925
Saline,11,Sucrose,5,6,7.7425
Saline,11,Sucrose,6,0.5,4.5725
Saline,12,Sucrose,1,6.75,10.0225
Saline,12,Sucrose,2,6.5,15.1375
Saline,12,Sucrose,3,8,18.16
Saline,12,Sucrose,4,7.75,22.095
Saline,12,Sucrose,5,6.75,22.8375
Saline,12,Sucrose,6,4,33.8175
Saline,13,Maltodextrin,1,4.5,7.86
Saline,13,Maltodextrin,2,3.75,7.7025
Saline,13,Maltodextrin,3,5.25,12.83
Saline,13,Maltodextrin,4,1.75,7.27
Saline,13,Maltodextrin,5,2.75,11.3675
Saline,13,Maltodextrin,6,1.75,7.4475
Saline,14,Maltodextrin,1,4,7.2425
Saline,14,Maltodextrin,2,3,10.8825
Saline,14,Maltodextrin,3,1.75,7.97
Saline,14,Maltodextrin,4,2,6.7325
Saline,14,Maltodextrin,5,1.5,6.98
Saline,14,Maltodextrin,6,4,9.1
Saline,15,Maltodextrin,1,4.75,6.4175
Saline,15,Maltodextrin,2,5,34.395
Saline,15,Maltodextrin,3,5.75,29.41
Saline,15,Maltodextrin,4,6.5,41.5125
Saline,15,Maltodextrin,5,6.25,34.0475
Saline,15,Maltodextrin,6,4.5,42.4075
Saline,16,Maltodextrin,1,5,7.0175
Saline,16,Maltodextrin,2,4.5,11.37
Saline,16,Maltodextrin,3,3,6.1075
Saline,16,Maltodextrin,4,3.5,9.365
Saline,16,Maltodextrin,5,6,9.8225
Saline,16,Maltodextrin,6,5,6.515
